,0,1,2,Mean Efficiency (%),Std. Deviation Efficiency (%),Max. Efficiency (%),Efficiency STD-Error,Mean Revenue ($/%m2),Std. Deviation Rev,Max. Revenue (%),No. of Samples,Total Revenue,Yield,Total Revenue STD-Error
0,70.0,2.0,2.848479954400867,2.848479954400867,4.186031067870191,10.674162523191104,1.2084030819354958,0.0,0.0,0.0,12.0,0.0,0.0,0.0
1,70.0,4.0,10.401124635470364,10.401124635470364,5.098018025996478,16.040413605442197,1.4716710398213155,24.38745445612591,20.836714456214303,48.12124081632659,12.0,292.6494534735109,0.5833333333333334,72.18049620193617
2,70.0,8.0,6.413850009734542,6.413850009734542,2.7113834991184236,8.99404727547586,0.7827089965461657,0.0,0.0,0.0,12.0,0.0,0.0,0.0
3,90.0,2.0,3.882357137016428,3.882357137016428,4.081633575845662,10.562392084106381,1.1782661218739539,0.0,0.0,0.0,12.0,0.0,0.0,0.0
4,90.0,4.0,12.483398193957731,12.483398193957731,2.0643201133246256,16.935379591836746,0.5959178865607657,24.196489469525208,20.789637407380578,50.806138775510234,12.0,290.3578736343025,0.5833333333333334,72.01741652103534
5,90.0,8.0,11.08899534231202,11.08899534231202,2.0032341371675333,14.668296296296308,0.5782838841717616,13.535619858448442,19.192480493582504,44.00488888888893,12.0,162.4274383013813,0.3333333333333333,66.484702676319
6,110.0,2.0,4.402567756247287,4.402567756247287,3.2766245181502835,10.865308980966136,0.9458800237936971,0.0,0.0,0.0,12.0,0.0,0.0,0.0
7,110.0,4.0,10.409158840330758,10.409158840330758,3.0559720606007335,15.68248394145539,0.8821831459119045,10.506413024805896,18.28446555171321,47.04745182436617,12.0,126.07695629767075,0.25,63.339246649620364
8,110.0,8.0,10.268329314459804,10.268329314459804,5.348094129008291,18.095474582560318,1.5438617925171971,16.370168631897222,23.224266872900916,54.286423747680956,12.0,196.44202358276667,0.3333333333333333,80.4512203848063
9,130.0,2.0,9.267122369621399,9.267122369621399,5.627331499609166,16.9807724867725,1.6244706780593063,16.213921500721515,22.9974641000793,50.942317460317504,12.0,194.5670580086582,0.3333333333333333,79.66555253315722
10,130.0,4.0,7.211809067546219,7.211809067546219,5.252391509567654,16.215130859616593,1.516234825969095,8.002661811997536,17.89634065948112,48.64539257884978,12.0,96.03194174397042,0.16666666666666666,61.99474258356401
11,130.0,8.0,5.767229890057041,5.767229890057041,3.2935070718883823,11.330066927781228,0.9507535972663469,0.0,0.0,0.0,12.0,0.0,0.0,0.0
